name,cost,type,paradigm,atkdmg,ravdmg,chain,target,var,duration,cut,keep,evade,pain,fog,rise,element,effect,chance,length
ATTACK,1,ATTACK,COMMANDO,1.2,0,0.5,0,0.04,3.33,35,35,Y,Y,N,0,N/A,N/A,-1,-1
BLITZ,2,ATTACK,COMMANDO,1.8,0,0.5,1,0.04,5.33,35,35,Y,Y,N,0,N/A,N/A,-1,-1
RUIN,1,ATTACK,COMMANDO,0,1,0.5,0,0.09,3.33,25,25,N,N,Y,0,N/A,N/A,-1,-1
RUINGA,3,ATTACK,COMMANDO,0,2.2,0.5,2,0.09,6.33,25,25,N,N,Y,5,N/A,N/A,-1,-1
SOVEREIGN FIST,5,ATTACK,COMMANDO,2.5,0,0,1,0.04,0,50,90,N,Y,Y,0,,N/A,-1,-1
HIGHWIND,5,ATTACK,COMMANDO,2.5,0,0,1,0.04,0,50,90,N,Y,Y,0,,N/A,-1,-1
FIRE,1,ATTACK,RAVAGER,0,1,10,0,0.09,0.9,25,25,N,N,Y,0,F,N/A,-1,-1
FIRA,2,ATTACK,RAVAGER,0,1.5,18,2,0.09,0.9,25,25,N,N,Y,0,F,N/A,-1,-1
FIRAGA,3,ATTACK,RAVAGER,0,2.2,26,2,0.09,0.9,25,25,N,N,Y,5,F,N/A,-1,-1
BLIZZARD,1,ATTACK,RAVAGER,0,1,10,0,0.09,0.9,25,25,N,N,Y,0,I,N/A,-1,-1
BLIZZARA,2,ATTACK,RAVAGER,0,1.5,18,4,0.09,0.9,25,25,N,N,Y,0,I,N/A,-1,-1
BLIZZAGA,3,ATTACK,RAVAGER,0,2.2,26,4,0.09,0.9,25,25,N,N,Y,4.5,I,N/A,-1,-1
THUNDER,1,ATTACK,RAVAGER,0,1,10,0,0.09,0.9,25,25,N,N,Y,0,T,N/A,-1,-1
THUNDARA,2,ATTACK,RAVAGER,0,1.5,18,4,0.09,0.9,25,25,N,N,Y,0,T,N/A,-1,-1
THUNDAGA,3,ATTACK,RAVAGER,0,2.2,26,4,0.09,0.9,25,25,N,N,Y,5,T,N/A,-1,-1
WATER,1,ATTACK,RAVAGER,0,1,10,0,0.09,0.9,25,25,N,N,Y,0,W,N/A,-1,-1
WATERA,2,ATTACK,RAVAGER,0,1.5,18,2,0.09,0.9,25,25,N,N,Y,0,W,N/A,-1,-1
WATERGA,3,ATTACK,RAVAGER,0,2.2,26,2,0.09,0.9,25,25,N,N,Y,5,W,N/A,-1,-1
AERO,1,ATTACK,RAVAGER,0,1,9,0,0.09,0.9,10,25,N,N,Y,0,A,N/A,-1,-1
AERORA,3,ATTACK,RAVAGER,0,2.2,24,2,0.09,0.9,10,25,N,N,Y,3,A,N/A,-1,-1
AEROGA,5,ATTACK,RAVAGER,0,3.6,41,2,0.09,2,25,25,N,N,Y,5,A,N/A,-1,-1
FLAME STRIKE,1,ATTACK,RAVAGER,1.2,0,10,0,0.04,0.9,35,35,N,Y,N,0,F,N/A,-1,-1
